1,"I don't know, and I'd like to learn more about what interpersonal violence is.",2,,
2,"I think I've experienced sexual misconduct, such as sexual harrassment",3,,
3,I have experienced sexual misconduct.,11,,
4,I want to support someone who has experienced or witnessed abuse or sexual misconduct.,13,,
5,I think I saw someone in an uncomfortable situation and I am not sure what to do. ,23,,
6,I want to learn more about preventing harm.,20,,
7,I think I know someone who has caused harm,21,,
8,I want to learn more about all resources.,24,,
9,I want to learn more about unhealthy or harmful relationships.,25,,
10,I want to learn more about harassment.,26,,
11,I want to learn more about stalking behavior.,27,,
12,I want to learn more about connecting to a resource.,28,,
13,I want to learn more about sexual misconduct.,29,,
14,I want to learn more about consent.,30,,
15,I do not wish to continue.,4,,
16,I'm still unsure about my situation. I want to talk it through with a resource.,31,,
17,I want to learn more about my options.,5,,
18,I'm looking to talk about it or get counseling.,6,,
19,I'm looking to report the incident.,7,,
20,I want to talk to a resource on campus,32,,
21,I want to talk to an off campus resource,33,,
22,"I'm not looking to talk to anyone, but I am still looking for support",34,,
23,I would like information about a criminal investigation,9,,
24,"I would like to file a formal complaint under the University’s Sexual Misconduct Policy against another student, faculty member or staff member.",35,,
25,"would like both a criminal investigation and a formal complaint under the University’s Sexual Misconduct Policy against another student, faculty member or staff member.",10,,
26,I want to anonymously report the incident but I don't want to take further actions just yet.,36,,
27,I want to learn more about my options for seeking financial support and/or compensation. ,37,,
28,I went through a Title IX process and I do not think I received due process.,38,,
29,I'm not sure what option I want to pick. I want to talk this through with someone.,39,,
30,"I'm not ready to share, but I want to learn more about my experience",22,,
31,Yes.,40,,
32,No.,41,,
33,Yes.,42,,
34,No.,43,,
35,I'm looking to talk about it or get counseling.,6,,
36,I'm looking to report the incident.,7,,
37,I'm looking for medical assistance.,12,,
38,I'm looking for guidance on self-care. ,44,,
39,I need help making a safety plan.,45,,
40,I am looking for temporary accommodations.,46,,
41,I want help preserving evidence.,47,,
42,I am just looking for STI testing or pregnancy prevention,48,,
43,"I am looking to receive a Sexual Assault Nurse Examiner exam (SANE), also known as a rape kit",49,,
44,Someone disclosed something to me and I think it was sexual misconduct.,14,,
45,I think I saw a sexual assault occur and I want to make sure people get help.,17,,
46,Someone disclosed a sexual assault about someone else to me.,19,,
47,I think my friend was sexually assaulted but they don't realize it might have been assault.,15,,
48,I'm not sure if this was sexual misconduct. Can I learn more?,2,,
49,I think my friend is being sexually harassed.,16,,
50,I think my friend is experiencing an unhealthy relationship or dating violence.,50,,
51,I think my friend is being stalked or cyber stalked.,51,,
52,I would like to learn more about what resources to refer my friend to.  ,52,,
53,I would like to see information on how to talk to my friend about this. ,53,,
54,I don't feel good about this situation. Can I get support?,54,,
55,Support Resources,55,,
56,Reporting Options,7,,
57,Don't know,56,,
58,I do not know the person that was assaulted.,57,,
59,I know the person that was assaulted.,18,,
60,I would like to talk to someone about what I saw. ,58,,
61,I would like to see information on how to be an effective supporter.,59,,
62,I would like to see a list of resources to pass forward.,60,,
63,I would like to see guidance on how to talk to a survivor that I can pass forward.,61,,
64,How can I be an active bystander in order to prevent violence or harm?,62,,
65,How can I stay safe on campus?,63,,
66,How can I support survivors?,64,,
67,What is consent?,65,,
68,Someone directly told me they caused harm to someone else.,66,,
69,Someone told me my friend caused harm to someone else.,67,,
70,I think someone might cause harm.,68,,
71,I’m not sure what option I want to pick. I want to talk this through with someone.,69,,
72,Relationship Violence,,"Relationship violence/dating violence: An act or a pattern of abuse committed by a person involved in a social, sexual or romantic relationship, past or present, with the victim. Relationship violence can encompass a broad range of behaviors that may include but is not limited to:
Physical violence: Any intentional use of physical force with the intent to cause fear or injury, like hitting, shoving, biting, strangling, kicking or using a weapon.
Sexual violence: Any action that impacts a person’s ability to control their sexual activity or the circumstances in which sexual activity occurs, including rape, coercion or restricting access to birth control.
Verbal and emotional violence: Non-physical behaviors such as threats, insults, constant monitoring, humiliation, intimidation, isolation or stalking.
Economic violence: Any action or behavior that attempts to control finances or economic situations. Examples include stealing from you or taking your money, making you account for every penny you spend, preventing you from working or pursuing a career, and pressuring you into paying for everything.
Digital violence: Use of technologies and/or social media to intimidate, harass or threaten. This includes demanding passwords, checking cell phones, cyber bullying, unwanted sexting, excessive or threatening texts, stalking on social media, or distributing/threatening to distribute sexual images. However, this behavior can happen outside of a relationship.",https://pvp.universitylife.upenn.edu/relationshipviolence/
73,Domestic Violence,,"Abuse committed against an adult who is a spouse, former spouse, cohabitant, someone with whom the person has a child, someone with whom the person has an existing dating or engagement relationship, or someone with whom the person had a dating or engagement relationship in the past.",https://www.thehotline.org/identify-abuse/understand-relationship-abuse/
